g3,absences,age,traveltime,studytime,failures,famrel,freetime,goout,dalc,walc,health
13,23,17,1,2,0,5,2,2,1,2,5
17,7,18,1,4,0,5,3,3,1,1,1
19,0,18,2,3,0,5,4,4,1,1,1
0,0,18,2,2,0,5,3,3,1,2,1
11,12,16,1,2,0,2,3,5,1,4,3
0,0,16,1,2,3,4,3,5,1,1,3
6,18,17,1,1,0,5,3,2,1,2,3
11,2,17,2,2,0,1,2,3,1,2,5
13,10,16,1,2,0,1,3,2,1,1,1
10,0,16,2,2,0,5,3,3,1,1,1
16,3,17,2,1,0,2,4,5,3,4,2
14,0,16,1,3,0,5,3,2,1,1,5
11,6,16,1,2,0,2,4,4,2,3,4
9,4,19,2,2,2,3,2,2,1,1,3
13,8,17,1,1,0,2,2,2,3,3,5
0,0,16,1,2,0,5,1,5,1,1,4
0,0,15,2,3,2,4,2,2,2,2,5
9,0,18,1,2,0,5,3,4,1,1,5
8,14,16,1,1,2,1,2,2,1,3,5
8,2,15,1,3,0,4,3,2,1,1,5
17,13,18,2,2,0,4,2,5,3,4,1
8,7,18,1,1,1,4,3,3,2,3,3
14,2,16,1,1,0,5,3,2,2,2,5
13,20,19,3,2,0,3,4,1,1,1,2
9,75,18,2,2,0,4,1,1,1,1,5
18,2,15,1,2,0,4,3,3,1,1,5
0,0,18,2,2,1,1,1,1,1,1,5
0,0,18,1,2,1,5,5,4,3,5,2
8,20,17,3,2,1,5,2,4,1,4,5
10,0,18,3,1,0,4,4,1,3,4,5
11,4,19,1,3,1,4,3,4,1,3,3
18,6,16,3,1,0,4,3,3,1,1,4
12,0,16,2,2,0,5,4,4,2,4,5
18,21,18,1,2,0,3,1,2,1,3,2
8,15,18,1,2,1,2,4,4,1,1,4
13,6,17,1,4,0,4,2,3,1,1,4
18,2,16,1,3,0,5,3,3,1,1,5
11,54,16,1,2,0,4,3,3,2,4,5
12,0,17,2,2,0,3,2,2,1,2,3
11,2,18,1,2,0,4,4,4,3,3,5
10,12,17,1,1,0,5,2,1,1,2,3
9,2,19,1,2,3,3,4,2,1,1,5
8,8,15,1,4,0,5,1,2,1,1,3
5,14,16,1,1,0,4,5,5,5,5,4
13,4,17,2,2,0,4,3,3,1,2,5
10,4,18,1,3,0,4,3,3,1,2,3
11,2,17,1,2,0,4,3,3,1,2,4
10,0,18,2,2,0,4,3,2,1,3,3
11,25,16,2,2,1,3,3,3,1,2,3
12,4,16,1,2,1,4,5,5,4,4,5
9,4,17,1,3,0,3,2,3,1,1,4
14,2,15,1,2,0,4,3,3,2,2,5
7,6,17,2,3,0,4,4,2,1,1,4
15,0,16,2,4,0,4,3,2,1,1,5
12,8,15,1,1,0,5,4,3,2,4,5
16,2,16,1,2,0,4,3,5,1,5,2
0,0,19,1,1,3,4,5,4,1,1,4
15,4,15,1,2,0,3,2,2,1,1,5
10,4,18,1,2,0,5,4,3,3,4,2
10,6,15,1,2,0,4,3,3,2,3,5
9,14,16,2,2,1,4,3,3,2,2,5
13,4,17,1,2,0,4,4,2,5,5,4
12,1,18,2,4,0,5,2,2,1,1,3
11,3,17,1,3,0,3,3,2,2,2,3
13,10,18,2,1,1,2,5,5,5,5,5
0,0,19,2,2,0,2,3,4,2,3,2
8,10,19,1,4,0,4,3,3,1,2,3
15,4,15,1,1,0,2,2,4,2,4,1
14,2,15,1,1,0,4,3,3,1,3,5
14,14,17,1,2,0,3,2,3,1,2,3
8,3,17,2,1,0,3,3,3,1,4,3
9,0,15,1,2,0,3,3,3,1,2,2
0,0,18,1,2,1,4,3,3,2,2,2
7,18,16,1,2,0,4,1,3,3,5,5
10,0,17,1,3,0,4,3,4,2,5,5
11,3,18,1,3,0,4,3,3,2,2,3
19,6,15,1,1,0,5,5,3,1,1,4
15,0,17,1,2,0,2,3,4,1,1,1
9,11,20,1,2,2,5,5,4,4,5,4
10,8,18,2,1,0,4,2,3,1,2,1
8,0,16,1,3,0,5,3,5,1,1,3
6,4,17,1,2,0,4,3,4,1,4,4
15,2,15,1,3,0,3,2,2,1,1,5
6,0,15,2,1,0,3,5,1,1,1,5
10,8,16,1,1,0,4,3,2,3,4,5
11,14,18,1,2,0,4,2,4,1,1,4
8,10,16,1,2,0,3,4,3,2,3,3
7,5,16,1,2,3,2,3,3,2,2,4
8,6,15,2,2,2,4,4,4,2,3,5
14,0,18,1,4,0,4,3,3,1,1,3
13,2,16,1,1,0,3,4,4,3,3,1
10,2,17,1,2,0,5,4,4,3,4,5
13,2,15,1,2,0,4,3,3,1,1,5
11,4,17,1,1,0,4,4,3,1,3,5
9,10,16,1,1,0,4,3,3,3,4,3
0,0,18,1,3,0,4,3,3,1,1,3
10,6,18,3,1,3,5,2,5,1,5,4
13,12,19,1,3,1,5,4,3,1,2,5
5,12,16,1,2,0,2,4,3,1,2,3
12,1,18,1,3,0,5,3,2,1,1,3
11,6,16,4,1,0,5,5,5,5,5,5
9,15,19,1,2,2,4,3,5,3,3,5
15,0,15,1,2,0,5,5,1,1,1,5
10,2,17,2,2,0,4,4,3,1,1,3
11,11,18,1,2,0,4,3,2,1,4,5
11,6,16,2,4,0,5,3,5,1,1,5
14,0,17,2,3,0,4,3,3,1,1,3
10,8,16,1,2,0,5,3,4,1,1,2
11,12,17,1,2,0,4,3,4,2,3,4
10,4,16,1,2,0,4,3,5,2,4,4
14,6,16,1,1,0,5,3,4,1,2,1
15,0,16,1,1,0,4,3,2,2,4,5
14,0,16,1,2,0,4,4,2,1,1,3
14,4,16,1,1,0,4,4,4,1,2,2
15,0,17,1,2,0,4,3,2,1,1,5
17,0,17,1,2,0,5,4,2,2,3,5
11,0,15,1,2,0,4,4,2,1,2,5
16,4,16,1,3,0,5,4,5,1,1,4
12,0,19,1,2,1,4,5,3,1,2,5
12,0,16,1,2,1,4,4,4,1,3,5
9,4,16,2,2,0,4,4,5,1,1,4
10,0,16,1,2,0,4,5,2,1,2,3
0,0,18,2,4,0,4,4,4,1,1,4
10,2,17,1,1,0,5,3,3,1,4,2
12,2,18,2,2,1,4,4,3,2,3,5
14,4,15,1,3,0,5,3,3,1,3,1
6,4,16,1,2,0,4,3,4,1,2,2
13,12,18,1,2,1,5,4,3,1,1,5
18,0,15,1,2,0,5,4,4,1,1,1
15,2,16,3,2,0,5,4,3,1,2,1
18,2,15,1,3,0,5,4,3,1,1,4
0,0,18,2,3,0,4,4,4,1,1,3
6,26,15,2,2,0,4,3,5,1,1,2
13,0,18,2,3,0,4,2,2,2,2,5
13,0,18,3,2,0,4,3,4,1,4,5
16,0,16,1,2,0,4,2,3,1,1,3
20,4,16,1,4,0,4,2,2,1,1,2
12,0,17,1,1,0,4,4,2,2,4,5
7,16,18,1,2,1,5,3,3,1,1,4
10,10,16,2,3,0,5,3,3,1,3,2
19,10,15,1,1,0,3,5,2,1,1,3
15,2,16,3,1,0,4,2,2,1,2,3
12,16,16,2,1,1,4,5,2,1,1,2
11,2,17,3,2,0,2,1,1,1,1,3
18,6,17,2,4,0,3,1,2,1,1,3
8,4,19,3,1,1,4,4,4,3,3,5
13,0,18,2,2,0,3,3,3,5,5,4
10,4,17,1,2,0,4,3,3,2,3,2
10,8,17,4,1,0,4,4,5,5,5,4
11,0,16,1,2,0,4,4,4,1,1,3
